City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
339,Sinnai,IT,66.0,clear sky,39.3,9.2,La Rosa Dei Venti Sardinya
340,Paita,PE,75.2,clear sky,-5.09,-81.11,Hotel Náutico de Paita
341,Akyab,MM,78.28,clear sky,20.15,92.9,Hotel Memory
342,Ofaqim,IL,70.0,clear sky,31.31,34.62,The Negev Experience
344,Adrar,MR,84.81,clear sky,20.5,-10.07,
346,Palmer,US,73.4,few clouds,42.16,-72.33,Wedgewood Motel
347,Lamu,KE,75.2,broken clouds,-2.27,40.9,Lamu House
350,Dingle,PH,75.27,scattered clouds,11.0,122.67,SEGAYA PROPERTY
351,Colares,PT,61.0,few clouds,38.8,-9.45,Arribas Sintra Hotel
352,San Quintin,MX,62.55,overcast clouds,30.48,-115.95,Old Mill Hotel
355,Necochea,AR,72.37,overcast clouds,-38.55,-58.74,dyd -mar Hotel
357,Abu Samrah,SY,62.65,clear sky,35.3,37.18,
358,Kavieng,PG,81.81,overcast clouds,-2.57,150.8,Nusa Island Retreat
360,Port-Gentil,GA,80.6,scattered clouds,-0.72,8.78,Fengshui Residence
364,Ugoofaaru,MV,83.62,scattered clouds,5.67,73.0,Ungoofaaru Inn
365,Coihaique,CL,71.6,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
367,Port Hueneme,US,64.0,clear sky,34.15,-119.2,Hampton Inn Channel Islands Harbor
370,Sibolga,ID,77.2,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
372,Les Cayes,HT,81.91,broken clouds,18.2,-73.75,Villa Orphee
374,Padang,ID,77.07,moderate rain,-0.95,100.35,Mercure Padang
376,Chaiya,TH,80.01,overcast clouds,9.39,99.2,JP Place
379,Hobyo,SO,80.71,few clouds,5.35,48.53,Osmani Hotel
381,Yaan,NG,80.71,few clouds,7.38,8.57,
382,Namibe,AO,72.19,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
384,Aswan,EG,70.14,clear sky,24.09,32.91,Nuba Nile
391,Karratha,AU,65.71,clear sky,-20.74,116.85,ibis Styles Karratha
392,Domoni,KM,77.07,few clouds,-12.26,44.53,Loulou
394,Nishihara,JP,69.8,broken clouds,26.18,127.76,Minshuku Agaihama
396,Winston,US,80.6,broken clouds,28.03,-82.01,Hampton Inn & Suites Lakeland-South Polk Parkway
397,Rio Grande,BR,66.2,light rain,-32.03,-52.1,Hotel Atlântico Rio Grande
398,Dicabisagan,PH,77.13,light rain,17.08,122.42,Nancy Montanes Bernardo
399,Usta Muhammad,PK,67.41,clear sky,28.18,68.04,Chandio Mohllah
403,Abu Dhabi,AE,82.4,clear sky,24.47,54.37,Beach Rotana
404,Thinadhoo,MV,83.71,light rain,0.53,72.93,
407,Gao,ML,78.24,clear sky,16.64,1.64,
409,Santa Rosa,PH,78.01,overcast clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
