City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Camana,PE,2020-11-07 18:20:26,-16.62,-72.71,64.98,74,67,6.6
106,Chardara,KZ,2020-11-07 18:20:26,41.25,67.97,65.12,27,97,17.9
107,Grand-Santi,GF,2020-11-07 18:17:19,4.25,-54.38,95.76,38,0,5.12
108,Quatre Cocos,MU,2020-11-07 18:17:36,-20.21,57.76,73.4,78,40,8.05
109,Marsa Matruh,EG,2020-11-07 18:20:27,31.35,27.25,70.88,65,93,10.27
110,Coihaique,CL,2020-11-07 18:20:27,-45.58,-72.07,66.2,34,0,6.93
111,Gornopravdinsk,RU,2020-11-07 18:20:27,60.05,69.9,36.03,97,100,6.6
112,Westport,US,2020-11-07 18:15:47,41.14,-73.36,73.0,59,1,11.41
113,Japura,ID,2020-11-07 18:20:11,-0.32,102.35,74.41,96,94,1.83
114,Yangambi,CD,2020-11-07 18:20:28,0.81,24.43,72.03,90,6,1.1
115,Hamilton,US,2020-11-07 18:18:49,39.18,-84.53,72.0,37,1,5.82
116,Krasnoselkup,RU,2020-11-07 18:20:28,65.7,82.47,33.44,98,100,8.01
117,Arruda Dos Vinhos,PT,2020-11-07 18:20:28,38.98,-9.08,63.0,3,60,1.99
118,Straumen,NO,2020-11-07 18:20:28,63.87,11.3,46.0,93,75,12.75
119,Saint-Augustin,CA,2020-11-07 18:17:27,51.23,-58.65,35.29,77,37,19.77
120,Bandundu,CD,2020-11-07 18:20:29,-3.32,17.37,76.75,82,29,2.91
121,Yarada,IN,2020-11-07 18:20:29,17.65,83.27,80.6,78,40,2.24
122,Kruisfontein,ZA,2020-11-07 18:19:42,-34.0,24.73,64.99,72,20,1.01
123,Omboue,GA,2020-11-07 18:20:29,-1.57,9.26,77.83,88,84,8.84
124,Fairmont,US,2020-11-07 18:20:30,39.49,-80.14,71.01,36,0,0.83
125,Tessalit,ML,2020-11-07 18:17:20,20.2,1.01,80.58,16,94,10.94
126,Saint-Philippe,RE,2020-11-07 18:20:30,-21.36,55.77,73.4,78,75,17.22
127,Dawlatabad,AF,2020-11-07 18:17:55,36.41,64.91,58.06,47,61,2.28
128,Altay,CN,2020-11-07 18:20:30,47.87,88.12,34.81,78,15,3.74
129,Liverpool,GB,2020-11-07 18:17:01,53.41,-2.98,51.01,87,20,4.7
130,San Cristobal,VE,2020-11-07 18:17:01,7.77,-72.22,86.0,70,40,11.41
131,Soissons,FR,2020-11-07 18:20:31,49.33,3.33,55.99,84,67,6.4
132,Senador Canedo,BR,2020-11-07 18:20:31,-16.71,-49.09,87.8,45,20,4.7
133,Kavaratti,IN,2020-11-07 18:19:39,10.57,72.64,83.32,72,1,5.3
134,Presidencia Roque Saenz Pena,AR,2020-11-07 18:18:16,-26.79,-60.44,96.28,20,17,5.17
135,Mar Del Plata,AR,2020-11-07 18:20:08,-38.0,-57.56,66.2,77,40,10.29
136,Porto Velho,BR,2020-11-07 18:20:32,-8.76,-63.9,93.2,56,40,4.7
137,Sao Bras De Alportel,PT,2020-11-07 18:20:32,37.15,-7.89,64.4,88,20,6.93
138,Port-Gentil,GA,2020-11-07 18:20:33,-0.72,8.78,80.6,88,40,12.75
139,Santa Cruz,BO,2020-11-07 18:20:33,-17.8,-63.17,100.4,31,25,17.22
140,Ancud,CL,2020-11-07 18:20:00,-41.87,-73.82,62.6,51,0,14.99
141,Maceio,BR,2020-11-07 18:17:35,-9.67,-35.74,86.0,70,75,19.46
142,Clyde River,CA,2020-11-07 18:20:33,70.47,-68.59,-2.2,84,20,4.7
143,Nola,IT,2020-11-07 18:20:33,40.92,14.53,60.01,72,0,4.7
144,Brigantine,US,2020-11-07 18:20:34,39.41,-74.36,75.2,36,1,6.93
145,Narsaq,GL,2020-11-07 18:16:29,60.92,-46.05,30.2,74,75,4.7
146,Salinopolis,BR,2020-11-07 18:17:47,-0.61,-47.36,86.09,65,46,15.93
147,Klaksvik,FO,2020-11-07 18:20:23,62.23,-6.59,39.2,86,100,9.4
148,Rawson,AR,2020-11-07 18:18:58,-43.3,-65.1,70.61,33,50,24.96
149,Campo Maior,BR,2020-11-07 18:20:34,-4.83,-42.17,95.23,35,81,5.37
150,Vestmannaeyjar,IS,2020-11-07 18:20:35,63.44,-20.27,44.6,87,75,25.28
151,Zabol,AF,2020-11-07 18:20:35,32.25,67.25,46.24,41,15,6.8
152,Manaure,CO,2020-11-07 18:20:35,11.78,-72.44,85.03,65,46,11.88
153,Vardo,NO,2020-11-07 18:20:35,70.37,31.11,38.98,88,91,32.91
