City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
127,Manaus,BR,-3.1,-60.02,86.0,79,40,3.36,heavy intensity rain
128,Bengkulu,ID,-3.8,102.27,76.03,82,100,4.18,moderate rain
129,Great Yarmouth,GB,52.61,1.73,55.0,97,98,9.6,overcast clouds
130,Ngama,TD,11.78,17.17,85.5,23,3,8.01,clear sky
131,Bondo,CD,3.81,23.69,74.34,81,79,1.77,broken clouds
132,Upernavik,GL,72.79,-56.15,0.27,82,100,9.53,overcast clouds
133,Saint George,US,37.1,-113.58,42.01,60,90,4.7,overcast clouds
134,Longyearbyen,SJ,78.22,15.64,24.8,68,75,3.36,broken clouds
135,Vila Velha,BR,-20.33,-40.29,87.8,58,20,12.75,few clouds
136,Baykit,RU,61.67,96.37,28.94,95,90,7.36,overcast clouds
137,Pitimbu,BR,-7.47,-34.81,86.0,70,75,16.11,broken clouds
138,Deputatskiy,RU,69.3,139.9,-18.44,89,0,2.53,clear sky
139,Hasaki,JP,35.73,140.83,44.6,81,40,5.82,scattered clouds
140,Abu Dhabi,AE,24.47,54.37,82.4,74,0,8.05,clear sky
141,Aden,YE,12.78,45.04,80.04,77,0,12.19,clear sky
142,Mian Channun,PK,30.44,72.35,65.8,25,25,3.09,scattered clouds
143,Zyrardow,PL,52.05,20.45,46.0,10,53,5.17,broken clouds
144,Morros,BR,-9.45,-46.3,90.0,41,97,7.92,overcast clouds
145,Katangli,RU,51.71,143.23,19.36,88,98,16.89,overcast clouds
146,Talnakh,RU,69.49,88.4,15.8,92,40,8.95,light snow
147,Salinopolis,BR,-0.61,-47.36,86.07,65,46,12.41,scattered clouds
148,Csabrendek,HU,47.01,17.29,46.99,100,90,4.7,mist
149,Camiri,BO,-20.05,-63.52,97.11,29,51,4.65,broken clouds
150,Thompson,CA,55.74,-97.86,14.0,92,90,14.99,snow
151,Woodward,US,36.43,-99.39,69.8,68,90,19.46,overcast clouds
152,Nishihara,JP,26.18,127.76,69.8,64,75,12.75,broken clouds
153,Pangai,TO,-19.8,-174.35,75.2,88,75,6.93,broken clouds
154,Miles City,US,46.41,-105.84,19.4,79,75,13.87,broken clouds
155,Hisor,TJ,38.52,68.55,51.8,62,75,4.47,haze
156,Narsaq,GL,60.92,-46.05,28.4,86,75,3.42,light snow
157,Forssa,FI,60.81,23.62,34.0,93,84,4.5,broken clouds
158,Macenta,GN,8.54,-9.47,78.42,61,94,0.98,overcast clouds
159,Verkhnetulomskiy,RU,68.61,31.8,30.2,86,40,8.95,scattered clouds
160,Rajapur,IN,25.38,81.15,66.63,28,0,1.68,clear sky
161,Lagoa,PT,39.05,-27.98,64.9,77,30,16.28,scattered clouds
162,Esil,KZ,51.96,66.4,33.22,90,89,8.59,overcast clouds
163,Nikolskoye,RU,59.7,30.79,41.0,80,40,13.42,scattered clouds
164,Georgiyevka,KZ,43.04,74.71,35.6,78,1,4.47,mist
165,Allapalli,IN,19.42,80.07,60.21,62,0,1.95,clear sky
166,Camacha,PT,33.08,-16.33,66.2,68,75,8.05,broken clouds
167,Las Palmas,ES,28.42,-14.01,73.4,73,75,11.41,broken clouds
168,Pevek,RU,69.7,170.31,18.23,93,99,7.18,overcast clouds
169,Bundaberg,AU,-24.85,152.35,60.01,82,65,6.93,broken clouds
170,Yatou,CN,37.15,122.38,46.22,57,0,3.22,clear sky
171,Chuy,UY,-33.7,-53.46,68.18,64,100,11.36,overcast clouds
172,Ahipara,NZ,-35.17,173.17,53.17,89,46,7.31,scattered clouds
173,Sinnamary,GF,5.38,-52.95,85.73,63,40,9.19,scattered clouds
174,Kirakira,SB,-10.45,161.92,81.03,82,48,6.76,light rain
175,Kangaatsiaq,GL,68.31,-53.46,15.89,86,82,5.77,broken clouds
176,Kodinsk,RU,58.69,99.18,34.39,90,100,6.31,overcast clouds
177,Yulara,AU,-25.24,130.99,78.8,31,55,2.24,broken clouds
178,Quang Ngai,VN,15.12,108.8,71.51,94,100,14.7,light rain
179,Finspang,SE,58.71,15.77,44.6,81,96,5.82,overcast clouds
180,Seoul,KR,37.57,126.98,41.0,69,1,2.51,clear sky
181,Nome,US,64.5,-165.41,28.99,92,90,19.46,snow
182,Mosquera,CO,4.71,-74.23,64.4,52,40,10.29,shower rain
183,Ouango,CF,4.31,22.56,75.4,66,65,2.37,broken clouds
184,Atuona,PF,-9.8,-139.03,77.22,74,15,13.29,few clouds
185,La Ronge,CA,55.1,-105.28,8.6,78,0,6.93,clear sky
186,Coahuayana,MX,18.73,-103.68,80.6,54,5,2.75,clear sky
187,Castro,BR,-24.79,-50.01,84.11,37,39,11.07,scattered clouds
188,Umea,SE,63.83,20.26,37.99,86,0,6.93,clear sky
189,Wexford,IE,52.33,-6.46,55.0,100,75,4.7,broken clouds
190,Cairns,AU,-16.92,145.77,73.4,88,90,10.29,overcast clouds
191,Shingu,JP,33.73,135.98,47.3,75,0,7.54,clear sky
192,Iqaluit,CA,63.75,-68.51,6.8,77,75,6.93,broken clouds
193,San Patricio,US,28.02,-97.52,82.0,61,40,8.05,scattered clouds
194,Bell Ville,AR,-32.63,-62.69,73.0,75,87,8.01,overcast clouds
195,East London,ZA,-33.02,27.91,57.2,93,75,16.11,light intensity drizzle
196,Bubaque,GW,11.28,-15.83,83.43,75,15,9.98,few clouds
197,Meulaboh,ID,4.14,96.13,77.45,88,96,4.07,light rain
198,Alofi,NU,-19.06,-169.92,71.6,94,40,8.05,scattered clouds
199,Tautira,PF,-17.73,-149.15,71.6,94,75,5.82,broken clouds
200,Kalabo,ZM,-14.97,22.68,83.08,34,85,5.48,light rain
201,Pishin,PK,30.58,67.0,44.49,53,10,0.89,clear sky
202,Nuuk,GL,64.18,-51.72,19.4,57,75,21.92,broken clouds
203,Wangkui,CN,46.83,126.5,14.13,89,0,6.87,clear sky
204,Toktogul,KG,41.87,72.94,43.7,73,97,1.21,overcast clouds
205,Mianwali,PK,32.57,71.53,65.46,26,100,2.46,overcast clouds
206,Zhuhai,CN,22.28,113.57,73.99,73,0,8.05,light rain
207,Raudeberg,NO,61.99,5.14,48.99,81,99,14.97,overcast clouds
208,Fortuna,US,40.6,-124.16,43.0,52,1,6.93,clear sky
209,Makakilo City,US,21.35,-158.09,78.8,83,1,3.36,clear sky
210,Praia,CV,14.92,-23.51,84.2,54,0,21.92,clear sky
211,Vostok,RU,46.49,135.88,4.21,95,92,4.23,overcast clouds
212,Sarakhs,IR,36.54,61.16,51.8,76,0,4.38,clear sky
213,Skibbereen,IE,51.55,-9.27,51.8,93,75,5.82,shower rain
214,Bosaso,SO,11.28,49.18,79.57,77,16,7.2,few clouds
215,Kainantu,PG,-6.29,145.87,58.62,94,36,1.36,scattered clouds
216,Saint-Joseph,RE,-21.37,55.62,75.2,78,0,12.75,clear sky
217,Salta,AR,-24.79,-65.41,82.4,39,20,14.99,few clouds
218,Najran,SA,17.49,44.13,75.2,29,0,5.08,clear sky
219,Rabat,MA,33.99,-6.84,66.2,82,40,8.05,scattered clouds
220,Ribeira Grande,PT,38.52,-28.7,66.2,82,75,21.92,broken clouds
221,Qaqortoq,GL,60.72,-46.03,28.4,86,75,3.94,light snow
222,Sucre,BO,-19.03,-65.26,64.4,48,20,5.82,few clouds
223,Sokolovo-Kundryuchenskiy,RU,47.84,39.95,46.4,87,75,4.47,broken clouds
224,Snezhnogorsk,RU,69.19,33.25,32.0,95,40,8.95,scattered clouds
225,Lompoc,US,34.64,-120.46,50.0,65,1,8.93,clear sky
226,Marti,CU,22.95,-80.92,82.4,78,75,8.05,broken clouds
227,Barrow,US,71.29,-156.79,10.4,78,40,12.75,scattered clouds
228,Newport,GB,51.59,-3.0,59.0,97,96,10.09,moderate rain
229,Broome,US,42.25,-75.83,69.01,45,1,3.36,clear sky
230,Sabang,ID,5.89,95.32,81.39,77,96,5.12,overcast clouds
231,Fontanka,UA,46.56,30.86,48.2,87,90,8.95,overcast clouds
232,Mazagao,BR,-0.12,-51.29,93.2,56,40,13.87,scattered clouds
233,Shelburne,CA,44.08,-80.2,71.6,46,20,5.82,few clouds
234,Pineville,US,31.32,-92.43,77.0,78,40,9.17,scattered clouds
235,Gombe,NG,10.29,11.17,86.0,33,29,5.82,haze
236,Scarborough,GB,54.28,-0.4,54.0,91,91,6.98,overcast clouds
237,Kushima,JP,31.46,131.23,54.03,78,15,3.29,few clouds
238,Atocha,BO,-20.93,-66.23,63.25,22,0,19.77,clear sky
